date,Korea,Korea_s
19/09/2020,820,820
20/09/2020,700,700
21/09/2020,610,610
22/09/2020,1100,1100
23/09/2020,1250,1250
24/09/2020,1140,1140
25/09/2020,610,610
26/09/2020,950,950
27/09/2020,500,500
28/09/2020,380,380
29/09/2020,1130,1130
30/09/2020,770,770
01/10/2020,630,630
02/10/2020,750,750
03/10/2020,640,640
04/10/2020,730,730
05/10/2020,750,750
06/10/2020,1140,1140
07/10/2020,690,690
08/10/2020,540,540
09/10/2020,720,720
10/10/2020,580,580
11/10/2020,970,970
12/10/2020,1020,1020
13/10/2020,840,840
14/10/2020,990,990
15/10/2020,470,470
16/10/2020,730,730
17/10/2020,910,910
18/10/2020,760,760
19/10/2020,580,580
20/10/2020,910,910
21/10/2020,1190,1190
22/10/2020,1550,1550
23/10/2020,770,770
24/10/2020,610,610
25/10/2020,1190,1190
26/10/2020,880,880
27/10/2020,1030,1030
28/10/2020,1250,1250
29/10/2020,1140,1140
30/10/2020,1260,1260
31/10/2020,1240,1240
01/11/2020,970,970
02/11/2020,750,750
03/11/2020,1180,1180
04/11/2020,1250,1250
05/11/2020,1450,1450
06/11/2020,890,890
07/11/2020,1430,1430
08/11/2020,1260,1260
09/11/2020,1000,1000
10/11/2020,1460,1460
11/11/2020,1430,1430
12/11/2020,1910,1910
13/11/2020,2050,2050
14/11/2020,2080,2080
15/11/2020,2230,2230
16/11/2020,2290,2290
17/11/2020,3130,3130
18/11/2020,3430,3430
19/11/2020,3630,3630
20/11/2020,3860,3860
21/11/2020,3300,3300
22/11/2020,2710,2710
23/11/2020,3490,3490
24/11/2020,3820,3820
25/11/2020,5830,5830
26/11/2020,5690,5690
27/11/2020,4880,4880
28/11/2020,4490,4490
29/11/2020,3770,3770
30/11/2020,4510,4510
01/12/2020,5110,5110
02/12/2020,5400,5400
03/12/2020,6290,6290
04/12/2020,5830,5830
05/12/2020,6310,6310
06/12/2020,6150,6150
07/12/2020,5940,5940
08/12/2020,6770,6770
09/12/2020,6660,6660
10/12/2020,6880,6880
11/12/2020,9500,9500
12/12/2020,10300,10300
13/12/2020,7180,7180
14/12/2020,8800,8800
15/12/2020,10780,10780
16/12/2020,10110,10110
17/12/2020,10620,10620
18/12/2020,10550,10550
19/12/2020,10950,10950
20/12/2020,9260,9260
21/12/2020,8690,8690
22/12/2020,10900,10900
23/12/2020,9830,9830
24/12/2020,12370,12370
25/12/2020,11320,11320
26/12/2020,9700,9700
27/12/2020,8080,8080
28/12/2020,10450,10450
29/12/2020,10480,10480
30/12/2020,9670,9670
31/12/2020,10290,10290
01/01/2021,8240,8240
02/01/2021,6510,6510
03/01/2021,10200,10200
04/01/2021,7150,7150
05/01/2021,8390,8390
06/01/2021,8680,8680
07/01/2021,6720,6720
08/01/2021,6410,6410
09/01/2021,6650,6650
10/01/2021,4500,4500
11/01/2021,5370,5370
12/01/2021,5610,5610
13/01/2021,5160,5160
14/01/2021,5130,5130
15/01/2021,5790,5790
16/01/2021,5200,5200
17/01/2021,3890,3890
18/01/2021,3860,3860
19/01/2021,4030,4030
20/01/2021,4000,4000
21/01/2021,3440,3440
22/01/2021,4300,4300
23/01/2021,3920,3920
24/01/2021,4370,4370
25/01/2021,3540,3540
26/01/2021,5540,5540
27/01/2021,4970,4970
28/01/2021,4690,4690
29/01/2021,4550,4550
30/01/2021,3550,3550
31/01/2021,3030,3030
01/02/2021,3360,3360
02/02/2021,4670,4670
03/02/2021,4510,4510
04/02/2021,3690,3690
05/02/2021,3930,3930
06/02/2021,3720,3720
07/02/2021,2890,2890
08/02/2021,3020,3020
09/02/2021,4430,4430
10/02/2021,5040,5040
11/02/2021,4030,4030
12/02/2021,3620,3620
