date,South Korea,South Korea
01/10/2020,63,63
02/10/2020,75,75
03/10/2020,64,64
04/10/2020,73,73
05/10/2020,75,75
06/10/2020,114,114
07/10/2020,69,69
08/10/2020,54,54
09/10/2020,72,72
10/10/2020,58,58
11/10/2020,97,97
12/10/2020,102,102
13/10/2020,84,84
14/10/2020,99,99
15/10/2020,47,47
16/10/2020,73,73
17/10/2020,91,91
18/10/2020,76,76
19/10/2020,58,58
20/10/2020,91,91
21/10/2020,119,119
22/10/2020,155,155
23/10/2020,77,77
24/10/2020,61,61
25/10/2020,119,119
26/10/2020,88,88
27/10/2020,103,103
28/10/2020,125,125
29/10/2020,114,114
30/10/2020,126,126
31/10/2020,124,124
01/11/2020,97,97
02/11/2020,75,75
03/11/2020,118,118
04/11/2020,125,125
05/11/2020,145,145
06/11/2020,89,89
07/11/2020,143,143
08/11/2020,126,126
09/11/2020,100,100
10/11/2020,146,146
11/11/2020,143,143
12/11/2020,191,191
13/11/2020,205,205
14/11/2020,208,208
15/11/2020,223,223
16/11/2020,229,229
17/11/2020,313,313
18/11/2020,343,343
19/11/2020,363,363
20/11/2020,386,386
21/11/2020,330,330
22/11/2020,271,271
23/11/2020,349,349
24/11/2020,382,382
25/11/2020,583,583
26/11/2020,569,569
27/11/2020,488,488
28/11/2020,449,449
29/11/2020,377,377
30/11/2020,451,451
01/12/2020,511,511
02/12/2020,540,540
03/12/2020,629,629
04/12/2020,583,583
05/12/2020,631,631
06/12/2020,615,615
07/12/2020,594,594
08/12/2020,677,677
09/12/2020,666,666
10/12/2020,688,688
11/12/2020,950,950
12/12/2020,1030,1030
13/12/2020,718,718
14/12/2020,880,880
15/12/2020,1078,1078
16/12/2020,1011,1011
17/12/2020,1062,1062
18/12/2020,1055,1055
19/12/2020,1095,1095
20/12/2020,926,926
21/12/2020,869,869
22/12/2020,1090,1090
23/12/2020,983,983
24/12/2020,1237,1237
25/12/2020,1132,1132
26/12/2020,970,970
27/12/2020,808,808
28/12/2020,1045,1045
29/12/2020,1048,1048
30/12/2020,967,967
31/12/2020,1029,1029
01/01/2021,824,824
02/01/2021,651,651
03/01/2021,1020,1020
04/01/2021,715,715
05/01/2021,839,839
06/01/2021,868,868
07/01/2021,672,672
08/01/2021,641,641
09/01/2021,665,665
10/01/2021,450,450
11/01/2021,537,537
12/01/2021,561,561
13/01/2021,516,516
14/01/2021,513,513
15/01/2021,579,579
16/01/2021,520,520
17/01/2021,389,389
18/01/2021,386,386
