date,b_limp,b_sujo
04/10/2020,8715,8715
05/10/2020,26053,26053
06/10/2020,31526,31526
07/10/2020,30938,30938
08/10/2020,26830,26830
09/10/2020,27733,27733
10/10/2020,23744,23744
11/10/2020,12191,12191
12/10/2020,8636,8636
13/10/2020,13359,13359
14/10/2020,27844,27844
15/10/2020,30426,30426
16/10/2020,28596,28596
17/10/2020,20776,20776
18/10/2020,12051,12051
19/10/2020,16579,16579
20/10/2020,23766,23766
21/10/2020,25856,25856
22/10/2020,24764,24764
23/10/2020,30001,30001
24/10/2020,24984,24984
25/10/2020,12254,12254
26/10/2020,18611,18611
27/10/2020,29982,29982
28/10/2020,28351,28351
29/10/2020,26700,26700
30/10/2020,24353,24353
31/10/2020,13170,13170
01/11/2020,10188,10188
02/11/2020,8249,8249
03/11/2020,14582,14582
04/11/2020,23316,23316
05/11/2020,23845,23845
06/11/2020,20200,20200
07/11/2020,17744,17744
08/11/2020,10502,10502
09/11/2020,13414,13414
10/11/2020,46424,46424
11/11/2020,26247,26247
12/11/2020,33919,33919
13/11/2020,38718,38718
14/11/2020,26278,26278
15/11/2020,13906,13906
16/11/2020,15744,15744
17/11/2020,35490,35490
18/11/2020,34752,34752
19/11/2020,35862,35862
20/11/2020,38770,38770
21/11/2020,30222,30222
22/11/2020,17926,17926
23/11/2020,18158,18158
24/11/2020,34533,34533
25/11/2020,44628,44628
26/11/2020,40885,40885
27/11/2020,33508,33508
28/11/2020,51485,51485
29/11/2020,21012,21012
30/11/2020,23695,23695
01/12/2020,51985,51985
02/12/2020,48475,48475
03/12/2020,50139,50139
04/12/2020,47671,47671
05/12/2020,40282,40282
06/12/2020,26430,26430
07/12/2020,27024,27024
08/12/2020,47796,47796
09/12/2020,54591,54591
10/12/2020,53550,53550
11/12/2020,52550,52550
12/12/2020,42324,42324
13/12/2020,22029,22029
14/12/2020,27380,27380
15/12/2020,48032,48032
16/12/2020,66124,66124
17/12/2020,68699,68699
18/12/2020,52853,52853
19/12/2020,48242,48242
20/12/2020,24484,24484
21/12/2020,27645,27645
22/12/2020,56665,56665
23/12/2020,45679,45679
24/12/2020,58211,58211
25/12/2020,21183,21183
26/12/2020,17533,17533
27/12/2020,17614,17614
28/12/2020,27437,27437
29/12/2020,56371,56371
30/12/2020,55600,55600
31/12/2020,54469,54469
01/01/2021,22939,22939
02/01/2021,15353,15353
03/01/2021,17190,17190
04/01/2021,25039,25039
05/01/2021,58083,58083
06/01/2021,62507,62507
07/01/2021,87969,87969
08/01/2021,59586,59586
09/01/2021,51393,51393
10/01/2021,29027,29027
11/01/2021,30747,30747
12/01/2021,64424,64424
13/01/2021,59827,59827
14/01/2021,68329,68329
15/01/2021,69097,69097
16/01/2021,58445,58445
17/01/2021,31416,31416
18/01/2021,28933,28933
19/01/2021,62149,62149
20/01/2021,64477,64477
21/01/2021,58950,58950
22/01/2021,56605,56605
23/01/2021,58298,58298
24/01/2021,28519,28519
25/01/2021,30530,30530
26/01/2021,61608,61608
27/01/2021,64772,64772
28/01/2021,60760,60760
29/01/2021,59503,59503
30/01/2021,53114,53114
31/01/2021,27900,27900
01/02/2021,28490,28490
02/02/2021,56278,56278
03/02/2021,54414,54414
04/02/2021,57107,57107
05/02/2021,51690,51690
06/02/2021,46310,46310
07/02/2021,26162,26162
08/02/2021,28586,28586
09/02/2021,51217,51217
10/02/2021,61108,61108
11/02/2021,53604,53604
12/02/2021,48942,48942
13/02/2021,44856,44856
14/02/2021,30723,30723
15/02/2021,25808,25808
16/02/2021,65284,65284
17/02/2021,47225,47225
18/02/2021,53479,53479
19/02/2021,52157,52157
20/02/2021,52371,52371
21/02/2021,29485,29485
22/02/2021,31846,31846
23/02/2021,63585,63585
24/02/2021,65386,65386
25/02/2021,68279,68279
26/02/2021,63395,63395
27/02/2021,58418,58418
28/02/2021,33365,33365
01/03/2021,40385,40385
02/03/2021,59695,59695
03/03/2021,72899,72899
04/03/2021,76022,76022
05/03/2021,72505,72505
06/03/2021,66904,66904
07/03/2021,81684,81684
08/03/2021,36585,36585
09/03/2021,71294,71294
10/03/2021,81467,81467
11/03/2021,77071,77071
12/03/2021,82471,82471
13/03/2021,70343,70343
14/03/2021,43448,43448
15/03/2021,44314,44314
16/03/2021,85645,85645
17/03/2021,88652,88652
18/03/2021,87926,87926
19/03/2021,88259,88259
20/03/2021,73154,73154
21/03/2021,47445,47445
22/03/2021,55970,55970
23/03/2021,85208,85208
24/03/2021,90906,90906
25/03/2021,98261,98261
26/03/2021,80346,80346
27/03/2021,81703,81703
28/03/2021,46958,46958
29/03/2021,42615,42615
30/03/2021,86441,86441
31/03/2021,88725,88725
01/04/2021,87773,87773
02/04/2021,69375,69375
03/04/2021,39355,39355
04/04/2021,32318,32318
05/04/2021,42674,42674
06/04/2021,85132,85132
07/04/2021,88696,88696
