date;Brazil;Brazil
12/08/2020;0.000258485;54954
13/08/2020;0.000285574;60713
14/08/2020;0.000232394;49407
15/08/2020;0.000173476;36881
16/08/2020;0.000108213;23006
17/08/2020;0.000114755;24397
18/08/2020;0.000231722;49264
19/08/2020;0.000228612;48603
20/08/2020;0.000202135;42974
21/08/2020;0.000152051;32326
22/08/2020;0.000215936;45908
23/08/2020;0.000102883;21873
24/08/2020;0.000110597;23513
25/08/2020;0.000217813;46307
26/08/2020;0.000226491;48152
27/08/2020;0.000198777;42260
28/08/2020;0.000207375;44088
29/08/2020;0.000175405;37291
30/08/2020;6.83631E-05;14534
31/08/2020;0.000236242;50225
01/09/2020;0.000208509;44329
02/09/2020;0.0002185;46453
03/09/2020;0.000220174;46809
04/09/2020;0.000185978;39539
05/09/2020;0.000159252;33857
06/09/2020;6.90122E-05;14672
07/09/2020;4.47601E-05;9516
08/09/2020;8.83631E-05;18786
09/09/2020;0.000174445;37087
10/09/2020;0.000191726;40761
11/09/2020;0.000195357;41533
12/09/2020;0.000144873;30800
13/09/2020;6.59454E-05;14020
14/09/2020;9.69473E-05;20611
15/09/2020;0.000162521;34552
16/09/2020;0.000175433;37297
17/09/2020;0.000171237;36405
18/09/2020;0.000186881;39731
19/09/2020;0.000139031;29558
20/09/2020;7.26341E-05;15442
21/09/2020;8.29492E-05;17635
22/09/2020;0.000164473;34967
23/09/2020;0.000153932;32726
24/09/2020;0.000150588;32015
25/09/2020;0.000151976;32310
26/09/2020;0.000116265;24718
27/09/2020;6.48495E-05;13787
28/09/2020;7.93556E-05;16871
29/09/2020;0.000154506;32848
30/09/2020;0.000154755;32901
01/10/2020;0.000168311;35783
02/10/2020;0.000154365;32818
03/10/2020;0.000108222;23008
04/10/2020;4.09925E-05;8715
05/10/2020;0.000122545;26053
06/10/2020;0.000148288;31526
07/10/2020;0.000145522;30938
08/10/2020;0.000126199;26830
09/10/2020;0.000130447;27733
10/10/2020;0.000111684;23744
11/10/2020;5.73424E-05;12191
12/10/2020;4.06209E-05;8636
13/10/2020;6.28363E-05;13359
14/10/2020;0.000130969;27844
15/10/2020;0.000143114;30426
16/10/2020;0.000134506;28596
17/10/2020;9.77234E-05;20776
18/10/2020;5.66839E-05;12051
19/10/2020;7.79821E-05;16579
20/10/2020;0.000111787;23766
21/10/2020;0.000121618;25856
22/10/2020;0.000116482;24764
23/10/2020;0.000141115;30001
24/10/2020;0.000117516;24984
25/10/2020;5.76388E-05;12254
26/10/2020;8.754E-05;18611
27/10/2020;0.000141025;29982
28/10/2020;0.000133354;28351
29/10/2020;0.000125588;26700
30/10/2020;0.000114548;24353
31/10/2020;6.19473E-05;13170
01/11/2020;4.7921E-05;10188
02/11/2020;3.88006E-05;8249
03/11/2020;6.85889E-05;14582
04/11/2020;0.000109671;23316
05/11/2020;0.000112159;23845
06/11/2020;9.50141E-05;20200
07/11/2020;8.34619E-05;17744
08/11/2020;4.93979E-05;10502
09/11/2020;6.3095E-05;13414
10/11/2020;0.000218363;46424
11/11/2020;0.000123457;26247
12/11/2020;0.000159544;33919
13/11/2020;0.000182117;38718
14/11/2020;0.000123603;26278
15/11/2020;6.54092E-05;13906
16/11/2020;7.40546E-05;15744
17/11/2020;0.000166933;35490
18/11/2020;0.000163462;34752
19/11/2020;0.000168683;35862
20/11/2020;0.000182361;38770
21/11/2020;0.000142154;30222
22/11/2020;8.4318E-05;17926
23/11/2020;8.54092E-05;18158
24/11/2020;0.000162432;34533
25/11/2020;0.000209915;44628
26/11/2020;0.00019231;40885
27/11/2020;0.000157611;33508
28/11/2020;0.000242168;51485
29/11/2020;9.88335E-05;21012
30/11/2020;0.000111453;23695
01/12/2020;0.00024452;51985
02/12/2020;0.00022801;48475
03/12/2020;0.000235837;50139
04/12/2020;0.000224229;47671
05/12/2020;0.000189473;40282
06/12/2020;0.000124318;26430
07/12/2020;0.000127112;27024
08/12/2020;0.000224817;47796
09/12/2020;0.000256778;54591
10/12/2020;0.000251881;53550
11/12/2020;0.000247178;52550
12/12/2020;0.000199078;42324
13/12/2020;0.000103617;22029
14/12/2020;0.000128786;27380
15/12/2020;0.000225927;48032
16/12/2020;0.000311025;66124
17/12/2020;0.000323137;68699
18/12/2020;0.000248603;52853
19/12/2020;0.000226914;48242
20/12/2020;0.000115165;24484
21/12/2020;0.000130033;27645
22/12/2020;0.000266533;56665
23/12/2020;0.000214859;45679
24/12/2020;0.000273805;58211
25/12/2020;9.96378E-05;21183
26/12/2020;8.24694E-05;17533
27/12/2020;8.28504E-05;17614
28/12/2020;0.000129055;27437
29/12/2020;0.000265151;56371
30/12/2020;0.000261524;55600
31/12/2020;0.000256204;54469
01/01/2021;0.000107897;22939
02/01/2021;7.22154E-05;15353
03/01/2021;8.08561E-05;17190
04/01/2021;0.000117775;25039
05/01/2021;0.000273203;58083
06/01/2021;0.000294012;62507
07/01/2021;0.000413777;87969
08/01/2021;0.000280273;59586
09/01/2021;0.000241736;51393
10/01/2021;0.000136533;29027
11/01/2021;0.000144624;30747
12/01/2021;0.000303029;64424
13/01/2021;0.000281406;59827
14/01/2021;0.000321397;68329
15/01/2021;0.000325009;69097
16/01/2021;0.000274906;58445
17/01/2021;0.00014777;31416
18/01/2021;0.000136091;28933
19/01/2021;0.000292328;62149
20/01/2021;0.000303278;64477
21/01/2021;0.000277281;58950
22/01/2021;0.000266251;56605
23/01/2021;0.000274214;58298
24/01/2021;0.000134144;28519
25/01/2021;0.000143603;30530
26/01/2021;0.000289784;61608
27/01/2021;0.000304666;64772
28/01/2021;0.000285795;60760
29/01/2021;0.000279882;59503
30/01/2021;0.000249831;53114
31/01/2021;0.000131232;27900
01/02/2021;0.000134008;28490
02/02/2021;0.000264713;56278
03/02/2021;0.000255945;54414
04/02/2021;0.000268612;57107
05/02/2021;0.000243133;51690
06/02/2021;0.000217827;46310
07/02/2021;0.000123057;26162
08/02/2021;0.000134459;28586
09/02/2021;0.000240908;51217
10/02/2021;0.000287432;61108
11/02/2021;0.000252135;53604
12/02/2021;0.000230207;48942
13/02/2021;0.000210988;44856
14/02/2021;0.000144511;30723
15/02/2021;0.000121392;25808
16/02/2021;0.000307074;65284
17/02/2021;0.000222131;47225
18/02/2021;0.000251548;53479
19/02/2021;0.000245329;52157
20/02/2021;0.000246336;52371
21/02/2021;0.000138688;29485
22/02/2021;0.000149793;31846
23/02/2021;0.000299083;63585
24/02/2021;0.000307554;65386
25/02/2021;0.000321162;68279
26/02/2021;0.000298189;63395
27/02/2021;0.000274779;58418
28/02/2021;0.000156938;33365
01/03/2021;0.000189958;40385
02/03/2021;0.000280786;59695
03/03/2021;0.000342893;72899
04/03/2021;0.000357582;76022
05/03/2021;0.00034104;72505
06/03/2021;0.000314694;66904
07/03/2021;0.000384214;81684
08/03/2021;0.000172084;36585
09/03/2021;0.000335343;71294
10/03/2021;0.000383194;81467
11/03/2021;0.000362516;77071
12/03/2021;0.000387916;82471
13/03/2021;0.00033087;70343
14/03/2021;0.000204365;43448
15/03/2021;0.000208438;44314
16/03/2021;0.000402846;85645
17/03/2021;0.00041699;88652
18/03/2021;0.000413575;87926
19/03/2021;0.000415141;88259
20/03/2021;0.000344092;73154
21/03/2021;0.000223166;47445
22/03/2021;0.000263264;55970
23/03/2021;0.00040079;85208
24/03/2021;0.000427592;90906
25/03/2021;0.000462187;98261
26/03/2021;0.000377921;80346
27/03/2021;0.000384304;81703
28/03/2021;0.000220875;46958
29/03/2021;0.000200447;42615
30/03/2021;0.00040659;86441
31/03/2021;0.000417333;88725
01/04/2021;0.000412855;87773
02/04/2021;0.000326317;69375
03/04/2021;0.000185113;39355
04/04/2021;0.000152013;32318
05/04/2021;0.000200724;42674
06/04/2021;0.000400433;85132
07/04/2021;0.000417197;88696
08/04/2021;0.000416533;88555
09/04/2021;0.00041444;88110
10/04/2021;0.000313039;66552
11/04/2021;0.000184266;39175
12/04/2021;0.0001865;39650
13/04/2021;0.00038881;82661
14/04/2021;0.000350922;74606
15/04/2021;0.000334821;71183
16/04/2021;0.000396929;84387
17/04/2021;0.000322507;68565
18/04/2021;0.000182681;38838
19/04/2021;0.000171787;36522
20/04/2021;0.000341689;72643
21/04/2021;0.000348015;73988
22/04/2021;0.000226284;48108
23/04/2021;0.000325875;69281
