date;Argentina;Argentina
19/07/2020;9.34408E-05;4231
20/07/2020;8.87588E-05;4019
21/07/2020;0.000118021;5344
22/07/2020;0.000127694;5782
23/07/2020;0.000135314;6127
24/07/2020;0.000121312;5493
25/07/2020;0.000106316;4814
26/07/2020;9.25795E-05;4192
27/07/2020;0.000107995;4890
28/07/2020;0.000131162;5939
29/07/2020;0.00012458;5641
30/07/2020;0.000140835;6377
31/07/2020;0.000130941;5929
01/08/2020;0.000115746;5241
02/08/2020;0.000118728;5376
03/08/2020;0.000106537;4824
04/08/2020;0.00015;6792
05/08/2020;0.00015784;7147
06/08/2020;0.000165923;7513
07/08/2020;0.000165239;7482
08/08/2020;0.000135468;6134
09/08/2020;0.000103534;4688
10/08/2020;0.000162743;7369
11/08/2020;0.000155543;7043
12/08/2020;0.000169236;7663
13/08/2020;0.000165592;7498
14/08/2020;0.00014057;6365
15/08/2020;0.000147151;6663
16/08/2020;0.000120782;5469
17/08/2020;0.00010064;4557
18/08/2020;0.00015106;6840
19/08/2020;0.000147814;6693
20/08/2020;0.000181648;8225
21/08/2020;0.00018019;8159
22/08/2020;0.000171356;7759
23/08/2020;0.000118198;5352
24/08/2020;0.000192425;8713
25/08/2020;0.000193706;8771
26/08/2020;0.000232995;10550
27/08/2020;0.000223145;10104
28/08/2020;0.000258768;11717
29/08/2020;0.000203843;9230
30/08/2020;0.000158723;7187
31/08/2020;0.000205587;9309
01/09/2020;0.000231979;10504
02/09/2020;0.000241453;10933
03/09/2020;0.000265592;12026
04/09/2020;0.000235954;10684
05/09/2020;0.00021917;9924
06/09/2020;0.000154284;6986
07/09/2020;0.000203511;9215
08/09/2020;0.000265614;12027
09/09/2020;0.000270738;12259
10/09/2020;0.00026292;11905
11/09/2020;0.00025413;11507
12/09/2020;0.000237986;10776
13/09/2020;0.0002;9056
14/09/2020;0.000218838;9909
15/09/2020;0.000262633;11892
16/09/2020;0.000257818;11674
17/09/2020;0.000280499;12701
18/09/2020;0.000263803;11945
19/09/2020;0.000204859;9276
20/09/2020;0.000186197;8431
21/09/2020;0.000193949;8782
22/09/2020;0.000265614;12027
23/09/2020;0.000278821;12625
24/09/2020;0.000297416;13467
25/09/2020;0.000286418;12969
26/09/2020;0.000248432;11249
27/09/2020;0.000195252;8841
28/09/2020;0.000260755;11807
29/09/2020;0.000297637;13477
30/09/2020;0.000317845;14392
01/10/2020;0.000309209;14001
02/10/2020;0.00032436;14687
03/10/2020;0.000245782;11129
04/10/2020;0.000169346;7668
05/10/2020;0.000248277;11242
06/10/2020;0.00032553;14740
07/10/2020;0.000363229;16447
08/10/2020;0.000341299;15454
09/10/2020;0.000333458;15099
10/10/2020;0.000274161;12414
