date;Italy;Italy;;
14-jul-20;1.91436E-06;114;;
15-jul-20;2.7204E-06;162;;
16-jul-20;3.8623E-06;230;;
17-jul-20;3.87909E-06;231;;
18-jul-20;4.18136E-06;249;;
19-jul-20;3.66079E-06;218;;
20-jul-20;3.1906E-06;190;;
21-jul-20;2.14945E-06;128;;
22-jul-20;4.70193E-06;280;;
23-jul-20;5.13854E-06;306;;
24-jul-20;4.23174E-06;252;;
25-jul-20;4.60118E-06;274;;
26-jul-20;4.26532E-06;254;;
27-jul-20;2.82116E-06;168;;
28-jul-20;3.39211E-06;202;;
29-jul-20;4.83627E-06;288;;
30-jul-20;6.41478E-06;382;;
31-jul-20;6.3644E-06;379;;
01-ago-20;4.95382E-06;295;;
02-ago-20;3.99664E-06;238;;
03-ago-20;2.67003E-06;159;;
04-ago-20;3.1906E-06;190;;
05-ago-20;6.44836E-06;384;;
06-ago-20;6.73384E-06;401;;
07-ago-20;9.26952E-06;552;;
08-ago-20;5.82704E-06;347;;
09-ago-20;7.77498E-06;463;;
10-ago-20;4.34929E-06;259;;
11-ago-20;6.91856E-06;412;;
12-ago-20;7.99328E-06;476;;
13-ago-20;8.76574E-06;522;;
14-ago-20;9.63896E-06;574;;
15-ago-20;1.05626E-05;629;;
16-ago-20;8.01008E-06;477;;
17-ago-20;5.37364E-06;320;;
18-ago-20;6.73384E-06;401;;
19-ago-20;1.07809E-05;642;;
20-ago-20;1.41058E-05;840;;
21-ago-20;1.59026E-05;947;;
22-ago-20;1.79849E-05;1071;;
23-ago-20;2.03023E-05;1209;;
24-ago-20;1.60034E-05;953;;
25-ago-20;1.47103E-05;876;;
26-ago-20;2.29387E-05;1366;;
27-ago-20;2.36608E-05;1409;;
28-ago-20;2.45172E-05;1460;;
29-ago-20;2.42485E-05;1444;;
30-ago-20;2.29219E-05;1365;;
31-ago-20;1.67254E-05;996;;
01-set-20;1.63728E-05;975;;
02-set-20;2.2267E-05;1326;;
03-set-20;2.34593E-05;1397;;
04-set-20;2.90848E-05;1732;;
05-set-20;2.84467E-05;1694;;
06-set-20;2.17632E-05;1296;;
07-set-20;1.93115E-05;1150;;
08-set-20;2.29891E-05;1369;;
09-set-20;2.40134E-05;1430;;
10-set-20;2.68178E-05;1597;;
11-set-20;2.71369E-05;1616;;
12-set-20;2.52057E-05;1501;;
13-set-20;2.445E-05;1456;;
14-set-20;1.6927E-05;1008;;
15-set-20;2.06381E-05;1229;;
16-set-20;2.43829E-05;1452;;
17-set-20;2.65827E-05;1583;;
18-set-20;3.20235E-05;1907;;
19-set-20;2.74895E-05;1637;;
20-set-20;2.66499E-05;1587;;
21-set-20;2.267E-05;1350;;
22-set-20;2.33585E-05;1391;;
23-set-20;2.75399E-05;1640;;
24-set-20;2.99916E-05;1786;;
25-set-20;3.21075E-05;1912;;
26-set-20;3.13854E-05;1869;;
27-set-20;2.96558E-05;1766;;
28-set-20;2.50882E-05;1494;;
29-set-20;2.76574E-05;1647;;
30-set-20;3.10663E-05;1850;;
01-out-20;4.27876E-05;2548;;
02-out-20;4.19647E-05;2499;;
03-out-20;4.77414E-05;2843;;
04-out-20;4.32914E-05;2578;;
05-out-20;3.79009E-05;2257;;
06-out-20;4.49538E-05;2677;;
07-out-20;6.17464E-05;3677;;
08-out-20;7.48615E-05;4458;;
09-out-20;9.02099E-05;5372;;
10-out-20;9.61209E-05;5724;;
11-out-20;9.16205E-05;5456;;
12-out-20;7.75651E-05;4619;;
13-out-20;9.90428E-05;5898;;
14-out-20;0.000123123;7332;;
15-out-20;0.000147825;8803;;
16-out-20;0.000168077;10009;;
17-out-20;0.000183459;10925;;
18-out-20;0.000196558;11705;;
19-out-20;0.000156793;9337;;
20-out-20;0.000182552;10871;;
21-out-20;0.000255231;15199;;
22-out-20;0.000269992;16078;;
23-out-20;0.000321461;19143;;
24-out-20;0.000329807;19640;;
25-out-20;0.000357229;21273;;
26-out-20;0.000285592;17007;;
27-out-20;0.000369253;21989;;
28-out-20;0.000419614;24988;;
29-out-20;0.000450529;26829;;
30-out-20;0.000521898;31079;;
31-out-20;0.000533266;31756;;
01-nov-20;0.000502183;29905;;
02-nov-20;0.000373686;22253;;
03-nov-20;0.00047424;28241;;
04-nov-20;0.000512981;30548;;
05-nov-20;0.000579379;34502;;
06-nov-20;0.000634794;37802;;
07-nov-20;0.000668497;39809;;
08-nov-20;0.000547674;32614;;
09-nov-20;0.000424332;25269;;
10-nov-20;0.000589253;35090;;
11-nov-20;0.000553501;32961;;
12-nov-20;0.000637733;37977;;
13-nov-20;0.000686851;40902;;
14-nov-20;0.000625508;37249;;
15-nov-20;0.000570563;33977;;
16-nov-20;0.000459312;27352;;
17-nov-20;0.000540571;32191;;
18-nov-20;0.000575651;34280;;
19-nov-20;0.00060749;36176;;
20-nov-20;0.00062534;37239;;
21-nov-20;0.000583778;34764;;
22-nov-20;0.000475852;28337;;
23-nov-20;0.000385004;22927;;
24-nov-20;0.000390042;23227;;
25-nov-20;0.000434123;25852;;
26-nov-20;0.000487003;29001;;
27-nov-20;0.000475936;28342;;
28-nov-20;0.000441898;26315;;
29-nov-20;0.0003467;20646;;
30-nov-20;0.000274996;16376;;
01-dez-20;0.000324887;19347;;
02-dez-20;0.000347758;20709;;
03-dez-20;0.000389908;23219;;
04-dez-20;0.00040487;24110;;
05-dez-20;0.000353518;21052;;
06-dez-20;0.000317162;18887;;
07-dez-20;0.000229706;13679;;
08-dez-20;0.000249152;14837;;
09-dez-20;0.00021419;12755;;
10-dez-20;0.000285441;16998;;
11-dez-20;0.000314458;18726;;
12-dez-20;0.000334207;19902;;
13-dez-20;0.000301209;17937;;
14-dez-20;0.000201931;12025;;
15-dez-20;0.000249186;14839;;
16-dez-20;0.000295013;17568;;
17-dez-20;0.00030618;18233;;
18-dez-20;0.000258623;15401;;
19-dez-20;0.000273804;16305;;
20-dez-20;0.000253602;15102;;
21-dez-20;0.000182519;10869;;
22-dez-20;0.00022361;13316;;
23-dez-20;0.000233552;13908;;
24-dez-20;0.000302922;18039;;
25-dez-20;0.000319681;19037;;
26-dez-20;0.000174727;10405;;
27-dez-20;0.000150076;8937;;
28-dez-20;0.000144097;8581;;
29-dez-20;0.000188245;11210;;
30-dez-20;0.000272074;16202;;
31-dez-20;0.00039424;23477;;
01-jan-21;0.000372964;22210;;
02-jan-21;0.000198573;11825;;
03-jan-21;0.000239211;14245;;
04-jan-21;0.000181327;10798;;
05-jan-21;0.000258186;15375;;
06-jan-21;0.000341327;20326;;
07-jan-21;0.000309253;18416;;
08-jan-21;0.000294358;17529;;
09-jan-21;0.000335449;19976;;
10-jan-21;0.000312762;18625;;
11-jan-21;0.000210411;12530;;
12-jan-21;0.00023916;14242;;
13-jan-21;0.00026487;15773;;
14-jan-21;0.000289555;17243;;
15-jan-21;0.0002711;16144;;
16-jan-21;0.000273887;16310;;
